GDP_Clean;Year;Country_Name;Country_Code
174,930991430;2000;Afghanistan;AFG
138,706821676;2001;Afghanistan;AFG
178,954088379;2002;Afghanistan;AFG
198,871115729;2003;Afghanistan;AFG
221,763653873;2004;Afghanistan;AFG
254,184249149;2005;Afghanistan;AFG
274,218553562;2006;Afghanistan;AFG
376,223152004;2007;Afghanistan;AFG
381,733238028;2008;Afghanistan;AFG
452,053705477;2009;Afghanistan;AFG
560,621505463;2010;Afghanistan;AFG
606,694676338;2011;Afghanistan;AFG
651,417134470;2012;Afghanistan;AFG
637,087099117;2013;Afghanistan;AFG
625,054941814;2014;Afghanistan;AFG
565,569730409;2015;Afghanistan;AFG
522,082215584;2016;Afghanistan;AFG
525,469770892;2017;Afghanistan;AFG
491,337221383;2018;Afghanistan;AFG
496,602504259;2019;Afghanistan;AFG
510,787063367;2020;Afghanistan;AFG
356,496214116;2021;Afghanistan;AFG
357,261152798;2022;Afghanistan;AFG
413,757894705;2023;Afghanistan;AFG
130,218160845;1970;Bangladesh;BGD
124,533963099;1971;Bangladesh;BGD
87,773765191;1972;Bangladesh;BGD
109,691726757;1973;Bangladesh;BGD
164,986393603;1974;Bangladesh;BGD
249,804254016;1975;Bangladesh;BGD
126,693044204;1976;Bangladesh;BGD
117,887771379;1977;Bangladesh;BGD
158,324255152;1978;Bangladesh;BGD
181,130706703;1979;Bangladesh;BGD
206,075714312;1980;Bangladesh;BGD
224,241392391;1981;Bangladesh;BGD
199,595944647;1982;Bangladesh;BGD
184,706772875;1983;Bangladesh;BGD
193,435020976;1984;Bangladesh;BGD
222,220180396;1985;Bangladesh;BGD
212,148993853;1986;Bangladesh;BGD
231,499584520;1987;Bangladesh;BGD
247,901465967;1988;Bangladesh;BGD
263,005720828;1989;Bangladesh;BGD
283,053737055;1990;Bangladesh;BGD
272,064948496;1991;Bangladesh;BGD
273,465072520;1992;Bangladesh;BGD
280,757274450;1993;Bangladesh;BGD
280,603031791;1994;Bangladesh;BGD
309,458680823;1995;Bangladesh;BGD
371,917937677;1996;Bangladesh;BGD
379,284917710;1997;Bangladesh;BGD
385,616881753;1998;Bangladesh;BGD
388,095684268;1999;Bangladesh;BGD
396,670730250;2000;Bangladesh;BGD
394,656410019;2001;Bangladesh;BGD
393,886422328;2002;Bangladesh;BGD
426,748807544;2003;Bangladesh;BGD
455,614016910;2004;Bangladesh;BGD
480,085850755;2005;Bangladesh;BGD
490,388026533;2006;Bangladesh;BGD
537,955492793;2007;Bangladesh;BGD
613,062041041;2008;Bangladesh;BGD
679,211477428;2009;Bangladesh;BGD
757,385280362;2010;Bangladesh;BGD
837,336944696;2011;Bangladesh;BGD
859,680536375;2012;Bangladesh;BGD
958,262989798;2013;Bangladesh;BGD
1094,461997028;2014;Bangladesh;BGD
1224,386476682;2015;Bangladesh;BGD
1649,283808586;2016;Bangladesh;BGD
1811,082216686;2017;Bangladesh;BGD
1965,243727315;2018;Bangladesh;BGD
2129,798969546;2019;Bangladesh;BGD
2248,850788282;2020;Bangladesh;BGD
2482,849178434;2021;Bangladesh;BGD
2716,485927804;2022;Bangladesh;BGD
2551,017738273;2023;Bangladesh;BGD
2593,416116808;2024;Bangladesh;BGD
114,355320020;1970;India;IND
120,680595540;1971;India;IND
125,270705962;1972;India;IND
146,568492582;1973;India;IND
166,699661755;1974;India;IND
161,086694022;1975;India;IND
164,119999587;1976;India;IND
189,585568552;1977;India;IND
209,389063573;1978;India;IND
227,958179873;1979;India;IND
271,080945954;1980;India;IND
274,964330769;1981;India;IND
278,650382583;1982;India;IND
295,999773299;1983;India;IND
281,049867841;1984;India;IND
300,928258576;1985;India;IND
314,897116403;1986;India;IND
344,941028293;1987;India;IND
358,484539642;1988;India;IND
349,915155022;1989;India;IND
371,085936204;1990;India;IND
305,574055929;1991;India;IND
319,182472626;1992;India;IND
302,884806246;1993;India;IND
347,734214740;1994;India;IND
375,176005373;1995;India;IND
401,046754674;1996;India;IND
416,228116204;1997;India;IND
413,630864057;1998;India;IND
441,927991436;1999;India;IND
442,750218937;2000;India;IND
450,357900514;2001;India;IND
469,149928974;2002;India;IND
544,143133545;2003;India;IND
624,258826510;2004;India;IND
710,488080409;2005;India;IND
801,668353659;2006;India;IND
1021,887077068;2007;India;IND
992,519584924;2008;India;IND
1094,949745984;2009;India;IND
1347,519390714;2010;India;IND
1445,461274860;2011;India;IND
1429,321995200;2012;India;IND
1432,843975122;2013;India;IND
1553,883960751;2014;India;IND
1583,998159080;2015;India;IND
1707,508929122;2016;India;IND
1950,104682809;2017;India;IND
1966,254551717;2018;India;IND
2041,428636986;2019;India;IND
1907,042516377;2020;India;IND
2239,613843675;2021;India;IND
2347,448294346;2022;India;IND
2530,120312782;2023;India;IND
2694,737808600;2024;India;IND
186,900791825;1970;Sri Lanka;LKA
188,760802168;1971;Sri Lanka;LKA
199,382892881;1972;Sri Lanka;LKA
220,170239208;1973;Sri Lanka;LKA
268,650905005;1974;Sri Lanka;LKA
279,821582600;1975;Sri Lanka;LKA
260,301495010;1976;Sri Lanka;LKA
292,148992497;1977;Sri Lanka;LKA
190,996464637;1978;Sri Lanka;LKA
230,775069370;1979;Sri Lanka;LKA
271,055290074;1980;Sri Lanka;LKA
292,451359758;1981;Sri Lanka;LKA
311,957878889;1982;Sri Lanka;LKA
335,823151715;1983;Sri Lanka;LKA
391,369617570;1984;Sri Lanka;LKA
384,611537689;1985;Sri Lanka;LKA
407,164600454;1986;Sri Lanka;LKA
419,824409444;1987;Sri Lanka;LKA
434,015552781;1988;Sri Lanka;LKA
430,023889738;1989;Sri Lanka;LKA
491,213686238;1990;Sri Lanka;LKA
546,292515571;1991;Sri Lanka;LKA
579,655117618;1992;Sri Lanka;LKA
607,231847103;1993;Sri Lanka;LKA
678,268012020;1994;Sri Lanka;LKA
741,838255293;1995;Sri Lanka;LKA
776,192371058;1996;Sri Lanka;LKA
827,035756059;1997;Sri Lanka;LKA
847,533577844;1998;Sri Lanka;LKA
829,356379528;1999;Sri Lanka;LKA
860,199884305;2000;Sri Lanka;LKA
803,544026627;2001;Sri Lanka;LKA
834,936014905;2002;Sri Lanka;LKA
946,382255128;2003;Sri Lanka;LKA
1028,620681326;2004;Sri Lanka;LKA
1207,219947642;2005;Sri Lanka;LKA
1388,897391199;2006;Sri Lanka;LKA
