Destination_Region;Country_Name;indicatorId;geoUnit;Year; Students_Outbound
North America & Western Europe;Afghanistan;OE.5T8.40500;AFG;2000;616
North America & Western Europe;Afghanistan;OE.5T8.40500;AFG;2001;658
North America & Western Europe;Afghanistan;OE.5T8.40500;AFG;2002;710
North America & Western Europe;Afghanistan;OE.5T8.40500;AFG;2003;832
North America & Western Europe;Afghanistan;OE.5T8.40500;AFG;2004;677
North America & Western Europe;Afghanistan;OE.5T8.40500;AFG;2005;753
North America & Western Europe;Afghanistan;OE.5T8.40500;AFG;2006;795
North America & Western Europe;Afghanistan;OE.5T8.40500;AFG;2007;1015
North America & Western Europe;Afghanistan;OE.5T8.40500;AFG;2008;1113
North America & Western Europe;Afghanistan;OE.5T8.40500;AFG;2009;1309
North America & Western Europe;Afghanistan;OE.5T8.40500;AFG;2010;1331
North America & Western Europe;Afghanistan;OE.5T8.40500;AFG;2011;1380
North America & Western Europe;Afghanistan;OE.5T8.40500;AFG;2012;1453
North America & Western Europe;Afghanistan;OE.5T8.40500;AFG;2013;1307
North America & Western Europe;Afghanistan;OE.5T8.40500;AFG;2014;1292
North America & Western Europe;Afghanistan;OE.5T8.40500;AFG;2015;1480
North America & Western Europe;Afghanistan;OE.5T8.40500;AFG;2016;1597
North America & Western Europe;Afghanistan;OE.5T8.40500;AFG;2017;1675
North America & Western Europe;Afghanistan;OE.5T8.40500;AFG;2018;1683
North America & Western Europe;Afghanistan;OE.5T8.40500;AFG;2019;1776
North America & Western Europe;Afghanistan;OE.5T8.40500;AFG;2020;1919
North America & Western Europe;Afghanistan;OE.5T8.40500;AFG;2021;2179
North America & Western Europe;Afghanistan;OE.5T8.40500;AFG;2022;2644
North America & Western Europe;Afghanistan;OE.5T8.40500;AFG;2023;3669
North America & Western Europe;Bangladesh;OE.5T8.40500;BGD;2000;6075
North America & Western Europe;Bangladesh;OE.5T8.40500;BGD;2001;6588
North America & Western Europe;Bangladesh;OE.5T8.40500;BGD;2002;7341
North America & Western Europe;Bangladesh;OE.5T8.40500;BGD;2003;8991
North America & Western Europe;Bangladesh;OE.5T8.40500;BGD;2004;8785
North America & Western Europe;Bangladesh;OE.5T8.40500;BGD;2005;7990
North America & Western Europe;Bangladesh;OE.5T8.40500;BGD;2006;8065
North America & Western Europe;Bangladesh;OE.5T8.40500;BGD;2007;9097
North America & Western Europe;Bangladesh;OE.5T8.40500;BGD;2008;9852
North America & Western Europe;Bangladesh;OE.5T8.40500;BGD;2009;12032
North America & Western Europe;Bangladesh;OE.5T8.40500;BGD;2010;13955
North America & Western Europe;Bangladesh;OE.5T8.40500;BGD;2011;14522
North America & Western Europe;Bangladesh;OE.5T8.40500;BGD;2012;13527
North America & Western Europe;Bangladesh;OE.5T8.40500;BGD;2013;13387
North America & Western Europe;Bangladesh;OE.5T8.40500;BGD;2014;15216
North America & Western Europe;Bangladesh;OE.5T8.40500;BGD;2015;15720
North America & Western Europe;Bangladesh;OE.5T8.40500;BGD;2016;17263
North America & Western Europe;Bangladesh;OE.5T8.40500;BGD;2017;17082
North America & Western Europe;Bangladesh;OE.5T8.40500;BGD;2018;17846
North America & Western Europe;Bangladesh;OE.5T8.40500;BGD;2019;20845
North America & Western Europe;Bangladesh;OE.5T8.40500;BGD;2020;24911
North America & Western Europe;Bangladesh;OE.5T8.40500;BGD;2021;29403
North America & Western Europe;Bangladesh;OE.5T8.40500;BGD;2022;39855
North America & Western Europe;Bangladesh;OE.5T8.40500;BGD;2023;46990
North America & Western Europe;India;OE.5T8.40500;IND;2000;50855
North America & Western Europe;India;OE.5T8.40500;IND;2001;65506
North America & Western Europe;India;OE.5T8.40500;IND;2002;81828
North America & Western Europe;India;OE.5T8.40500;IND;2003;94630
North America & Western Europe;India;OE.5T8.40500;IND;2004;105356
North America & Western Europe;India;OE.5T8.40500;IND;2005;111977
North America & Western Europe;India;OE.5T8.40500;IND;2006;109412
North America & Western Europe;India;OE.5T8.40500;IND;2007;123712
North America & Western Europe;India;OE.5T8.40500;IND;2008;134967
North America & Western Europe;India;OE.5T8.40500;IND;2009;152838
North America & Western Europe;India;OE.5T8.40500;IND;2010;157960
North America & Western Europe;India;OE.5T8.40500;IND;2011;159088
North America & Western Europe;India;OE.5T8.40500;IND;2012;148915
North America & Western Europe;India;OE.5T8.40500;IND;2013;142106
North America & Western Europe;India;OE.5T8.40500;IND;2014;150036
North America & Western Europe;India;OE.5T8.40500;IND;2015;168142
North America & Western Europe;India;OE.5T8.40500;IND;2016;198475
North America & Western Europe;India;OE.5T8.40500;IND;2017;223588
North America & Western Europe;India;OE.5T8.40500;IND;2018;228128
North America & Western Europe;India;OE.5T8.40500;IND;2019;277932
North America & Western Europe;India;OE.5T8.40500;IND;2020;332194
North America & Western Europe;India;OE.5T8.40500;IND;2021;340849
North America & Western Europe;India;OE.5T8.40500;IND;2022;443229
North America & Western Europe;India;OE.5T8.40500;IND;2023;607214
North America & Western Europe;Sri Lanka;OE.5T8.40500;LKA;2000;3607
North America & Western Europe;Sri Lanka;OE.5T8.40500;LKA;2001;3954
North America & Western Europe;Sri Lanka;OE.5T8.40500;LKA;2002;4315
North America & Western Europe;Sri Lanka;OE.5T8.40500;LKA;2003;5000
North America & Western Europe;Sri Lanka;OE.5T8.40500;LKA;2004;5338
North America & Western Europe;Sri Lanka;OE.5T8.40500;LKA;2005;5676
North America & Western Europe;Sri Lanka;OE.5T8.40500;LKA;2006;6225
North America & Western Europe;Sri Lanka;OE.5T8.40500;LKA;2007;6778
North America & Western Europe;Sri Lanka;OE.5T8.40500;LKA;2008;7180
North America & Western Europe;Sri Lanka;OE.5T8.40500;LKA;2009;7978
North America & Western Europe;Sri Lanka;OE.5T8.40500;LKA;2010;8221
North America & Western Europe;Sri Lanka;OE.5T8.40500;LKA;2011;8420
North America & Western Europe;Sri Lanka;OE.5T8.40500;LKA;2012;7879
